tokenid	token	lemma	pos1	pos2	feat	headid	deprel	other1	other2
9	появление	появление	N	N	Ncnsnn	11	1-компл	_	_
10	экскурсия	экскурсия	N	N	Ncfsnn	9	квазиагент	_	_
11	использовать	использовать	V	V	Vmn----a-e	4	разъяснит	_	_
12	повышение	повышение	N	N	Ncnsnn	11	3-компл	_	_
13	диск	диск	N	N	Ncmsan	12	1-компл	_	_
14	жаловаться	жаловаться	V	V	Vmn----m-e	11	2-компл	_	_
15	картинка	картинка	N	N	Ncfsnn	14	1-компл	_	_
16	имущество	имущество	N	N	Ncnsan	15	1-компл	_	_
17	вооружение	вооружение	N	N	Ncnsan	16	1-компл	_	_
18	пост	пост	N	N	Ncmsan	19	композ	_	_
19	мероприятие	мероприятие	N	N	Ncnsnn	20	2-компл	_	_
20	сесть	сесть	V	V	Vmn----a-p	11	сочин	_	_
21	иметь	иметь	V	V	Vmn----a-e	20	1-компл	_	_
22	базироваться	базироваться	V	V	Vmn----m-e	23	опред	_	_
23	смена	смена	N	N	Ncfsnn	21	1-компл	_	_
24	станция	станция	N	N	Ncfsnn	23	сочин	_	_
25	заработать	заработать	V	V	Vmn----a-p	24	1-компл	_	_
26	нет	нет	Q	Q	Q	24	аппоз	_	_
27	тест	тест	N	N	Ncmsnn	24	сочин	_	_
28	проводиться	проводиться	V	V	Vmn----m-e	27	1-компл	_	_
29	сила	сила	N	N	Ncfsnn	28	обст	_	_
30	жилье	жилье	N	N	Ncnsan	27	сочин	_	_
31	часть	часть	N	N	Ncfsan	30	1-компл	_	_
32	постановка	постановка	N	N	Ncfsnn	38	предик	_	_
33	настаивать	настаивать	V	V	Vmn----a-e	32	1-компл	_	_
34	поэтому	поэтому	P	P	P-----r	38	обст	_	_
35	мир	мир	N	N	Ncmsnn	38	обст	_	_
36	дальний	дальний	A	A	Afpmsaf	37	опред	_	_
37	имя	имя	N	N	Ncnsan	35	предл	_	_
38	вершина	вершина	N	N	Ncfsnn	4	сент-соч	_	_
39	линия	линия	N	N	Ncfsnn	38	квазиагент	_	_
40	планета	планета	N	N	Ncfsnn	39	квазиагент	_	_
41	связь	связь	N	N	Ncfsnn	0	ROOT	_	_
42	ощупь	ощупь	N	N	Ncfsan	44	1-компл	_	_
43	начальный	начальный	A	A	Afpmsnf	44	опред	_	_
44	увеличиться	увеличиться	V	V	Vmn----m-p	41	1-компл	_	_
45	обратить	обратить	V	V	Vmn----a-p	0	ROOT	_	_
46	дерево	дерево	N	N	Ncnsnn	45	1-компл	_	_
47	дверь	дверь	N	N	Ncfsan	46	предл	_	_
48	душа	душа	N	N	Ncfsnn	50	1-компл	_	_
49	практически	практически	R	R	R	50	огранич	_	_
50	перевести	перевести	V	V	Vmn----a-p	45	разъяснит	_	_
51	вот	вот	Q	Q	Q	52	огранич	_	_
52	выполнить	выполнить	V	V	Vmn----a-p	50	3-компл	_	_
53	четыре	четыре	M	M	Mc--a	54	количест	_	_
54	подняться	подняться	V	V	Vmn----m-p	52	1-компл	_	_
55	говорить	говорить	V	V	Vmn----a-e	62	2-компл	_	_
56	край	край	N	N	Ncmsan	55	1-компл	_	_
57	подразделяться	подразделяться	V	V	Vmn----m-p	58	опред	_	_
58	обслуживание	обслуживание	N	N	Ncnsan	55	длительн	_	_
59	побывать	побывать	V	V	Vmn----a-p	55	1-компл	_	_
60	самолет	самолет	N	N	Ncmsan	59	1-компл	_	_
61	портал	портал	N	N	Ncmsnn	60	аппоз	_	_
62	попадать	попадать	V	V	Vmn----a-e	54	1-компл	_	_
63	отправляться	отправляться	V	V	Vmn----m-e	62	1-компл	_	_
64	пройти	пройти	V	V	Vmn----a-p	63	1-компл	_	_
65	наносить	наносить	V	V	Vmn----a-e	0	ROOT	_	_
66	потолок	потолок	N	N	Ncmsan	65	1-компл	_	_
67	возложить	возложить	V	V	Vmn----a-p	65	сочин	_	_
68	проходить	проходить	V	V	Vmn----a-e	67	1-компл	_	_
69	вернуться	вернуться	V	V	Vmn----m-p	68	1-компл	_	_
70	консультация	консультация	N	N	Ncfsnn	67	сочин	_	_
71	выступать	выступать	V	V	Vmn----a-e	74	1-компл	_	_
72	конкретный	конкретный	A	A	Afpmsaf	73	опред	_	_
73	грудь	грудь	N	N	Ncfsan	71	1-компл	_	_
74	увидеть	увидеть	V	V	Vmn----a-p	70	1-компл	_	_
75	ближайший	ближайший	A	A	Afpmsnf	76	опред	_	_
76	%	%	-	-	-	74	1-компл	_	_
77	нижний	нижний	A	A	Afpmsnf	83	опред	_	_
78	приехать	приехать	V	V	Vmn----a-p	77	1-компл	_	_
79	бесплатный	бесплатный	A	A	Afpmsnf	78	обст	_	_
80	однако	однако	C	C	C	83	огранич	_	_
81	война	война	N	N	Ncfsnn	83	предик	_	_
82	согласие	согласие	N	N	Ncnsan	83	огранич	_	_
83	память	память	N	N	Ncfsan	74	обст	_	_
84	подарок	подарок	N	N	Ncmsan	74	1-компл	_	_
85	государственный	государственный	A	A	Afpmsnf	87	опред	_	_
86	ехать	ехать	V	V	Vmn----a-e	85	1-компл	_	_
87	курсы	курсы	N	N	Ncmpan	74	2-компл	_	_
88	осуществление	осуществление	N	N	Ncnsan	87	1-компл	_	_
89	велосипед	велосипед	N	N	Ncmsan	88	1-компл	_	_
90	сертификат	сертификат	N	N	Ncmsan	74	1-компл	_	_
91	скорость	скорость	N	N	Ncfsan	74	об-копр	_	_
92	текст	текст	N	N	Ncmsan	91	квазиагент	_	_
93	высший	высший	A	A	Afpmsaf	101	опред	_	_
94	появляться	появляться	V	V	Vmn----m-e	93	1-компл	_	_
95	передний	передний	A	A	Afpmsaf	96	1-компл	_	_
96	зарабатывать	зарабатывать	V	V	Vmn----a-e	94	1-компл	_	_
97	доставка	доставка	N	N	Ncfsnn	96	2-компл	_	_
98	автобус	автобус	N	N	Ncmsan	97	1-компл	_	_
99	отражаться	отражаться	V	V	Vmn----m-e	96	сочин	_	_
100	исключительно	исключительно	Q	Q	Q	101	огранич	_	_
101	образование	образование	N	N	Ncnsan	70	сочин	_	_
102	видеть	видеть	V	V	Vmn----a-e	0	ROOT	_	_
103	катание	катание	N	N	Ncnsan	102	1-компл	_	_
104	транспорт	транспорт	N	N	Ncmsan	103	1-компл	_	_
105	прочность	прочность	N	N	Ncfsan	102	суб-обст	_	_
106	личный	личный	A	A	Afpmsnf	107	опред	_	_
107	применение	применение	N	N	Ncnsnn	102	1-компл	_	_
108	защита	защита	N	N	Ncfsnn	0	ROOT	_	_
109	побережье	побережье	N	N	Ncnsan	108	1-компл	_	_
110	шея	шея	N	N	Ncfsnn	108	сочин	_	_
111	формирование	формирование	N	N	Ncnsan	110	сочин	_	_
112	тратить	тратить	V	V	Vmn----a-e	111	1-компл	_	_
113	левый	левый	A	A	Afpmsaf	114	опред	_	_
114	полка	полк	N	N	Ncmsgn	112	1-компл	_	_
115	успех	успех	N	N	Ncmsan	111	сочин	_	_
116	блоге	блоге	A	A	Afpmsaf	117	опред	_	_
117	фронт	фронт	N	N	Ncmsan	115	квазиагент	_	_
118	контракт	контракт	N	N	Ncmsan	121	композ	_	_
119	пенсия	пенсия	N	N	Ncfsnn	121	предик	_	_
120	останавливаться	останавливаться	V	V	Vmn----m-e	121	опред	_	_
121	видео	видео	N	N	Ncnsnn	0	ROOT	_	_
122	анализ	анализ	N	N	Ncmsnn	121	предл	_	_
123	гражданин	гражданин	N	N	Ncmsny	0	ROOT	_	_
124	упасть	упасть	V	V	Vmn----a-p	123	1-компл	_	_
125	победа	победа	N	N	Ncfsnn	0	ROOT	_	_
126	окружающий	окружать	V	V	Vmpp-smafen	0	ROOT	_	_
127	принимать	принимать	V	V	Vmn----a-e	126	1-компл	_	_
128	бизнес	бизнес	N	N	Ncmsnn	127	1-компл	_	_
129	существовать	существовать	V	V	Vmn----a-e	127	сочин	_	_
130	...	...	S	S	SENT	129	PUNC	_	_

